110,164
110,205
114,246
122,285
136,322
159,354
186,383
215,410
251,419
291,412
330,387
368,361
400,329
423,291
434,247
440,202
443,156
121,137
143,123
171,121
200,127
225,142
275,144
302,129
333,122
364,124
391,137
250,180
249,212
247,244
245,276
214,285
230,294
248,299
268,293
285,286
151,175
170,170
191,172
212,183
190,185
168,184
298,182
317,173
337,172
358,175
339,183
318,184
191,326
214,326
234,325
248,330
263,326
286,328
314,331
286,350
263,358
247,359
231,356
212,347
202,328
233,336
248,339
263,337
302,333
262,338
247,339
233,337
